Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Sentiment_Score
2024-01-02,7200.0,7220.0,7250.0,7190.0,0.0
2024-01-03,7310.0,7320.0,7332.0,7268.0,0.25
2024-01-04,7204.0,7290.0,7296.0,7136.0,0.0
2024-01-05,7236.0,7188.0,7268.0,7180.0,-0.08
2024-01-07,7140.0,7076.0,7140.0,7076.0,0.0
2024-01-08,7324.0,7276.0,7324.0,7260.0,0.0
2024-01-10,7644.0,7550.0,7644.0,7548.0,0.0
2024-01-11,7504.0,7572.0,7584.0,7484.0,-0.04
2024-01-15,7224.0,7256.0,7280.0,7210.0,0.0
2024-01-16,7244.0,7230.0,7268.0,7212.0,0.0
2024-01-17,7200.0,7250.0,7252.0,7164.0,0.0
2024-01-18,7252.0,7200.0,7268.0,7184.0,0.0
2024-01-19,7228.0,7270.0,7276.0,7172.0,0.0
2024-01-22,7250.0,7230.0,7250.0,7196.0,0.0
2024-01-23,7256.0,7230.0,7256.0,7200.0,-0.33
2024-01-24,7228.0,7256.0,7270.0,7172.0,0.0
2024-01-25,7180.0,7216.0,7252.0,7176.0,0.0
2024-01-26,7136.0,7150.0,7170.0,7100.0,-0.1
2024-01-29,7156.0,7148.0,7176.0,7116.0,0.0
2024-01-30,7190.0,7148.0,7212.0,7132.0,-0.04
2024-01-31,7210.0,7212.0,7250.0,7190.0,0.0
2024-02-01,7324.0,7268.0,7324.0,7244.0,-0.08
2024-02-02,7240.0,7220.0,7240.0,7180.0,0.14
2024-02-04,7236.0,7200.0,7236.0,7150.0,0.0
2024-02-05,7116.0,7228.0,7230.0,7070.0,0.0
2024-02-07,7124.0,7148.0,7176.0,7100.0,0.0
2024-02-08,7308.0,7304.0,7336.0,7264.0,0.0
2024-02-09,7696.0,7690.0,7730.0,7668.0,0.0
2024-02-10,7564.0,7600.0,7620.0,7500.0,0.0
2024-02-12,7050.0,7116.0,7150.0,7040.0,0.0
2024-02-13,7210.0,7300.0,7300.0,7196.0,0.07
2024-02-15,7304.0,7336.0,7364.0,7300.0,0.0
2024-02-16,7336.0,7336.0,7372.0,7316.0,0.0
2024-02-19,7296.0,7324.0,7340.0,7276.0,0.0
2024-02-20,7350.0,7320.0,7356.0,7308.0,0.0
